county_name,location,year,month,multifamily,single_family,total_permits,treated,post,date
Ca Alameda,"Alameda County, CA",2018,1,1338,90,759,1,0,2018-01-01
Ca Alameda,"Alameda County, CA",2018,2,1262,133,764,1,0,2018-02-01
Ca Alameda,"Alameda County, CA",2018,3,848,216,640,1,0,2018-03-01
Ca Alameda,"Alameda County, CA",2018,4,3048,195,1719,1,0,2018-04-01
Ca Alameda,"Alameda County, CA",2018,5,1102,204,755,1,0,2018-05-01
Ca Alameda,"Alameda County, CA",2018,6,950,165,640,1,0,2018-06-01
Ca Alameda,"Alameda County, CA",2018,7,1218,184,793,1,0,2018-07-01
Ca Alameda,"Alameda County, CA",2018,8,1014,160,667,1,0,2018-08-01
Ca Alameda,"Alameda County, CA",2018,9,302,155,306,1,0,2018-09-01
Ca Alameda,"Alameda County, CA",2018,10,382,186,377,1,0,2018-10-01
Ca Alameda,"Alameda County, CA",2018,11,228,144,258,1,0,2018-11-01
Ca Alameda,"Alameda County, CA",2018,12,926,136,599,1,0,2018-12-01
Ca Alameda,"Alameda County, CA",2019,1,788,156,550,1,0,2019-01-01
Ca Alameda,"Alameda County, CA",2019,2,130,139,204,1,0,2019-02-01
Ca Alameda,"Alameda County, CA",2019,3,1198,145,744,1,0,2019-03-01
Ca Alameda,"Alameda County, CA",2019,4,876,291,729,1,0,2019-04-01
Ca Alameda,"Alameda County, CA",2019,5,330,167,332,1,0,2019-05-01
Ca Alameda,"Alameda County, CA",2019,6,890,105,550,1,0,2019-06-01
Ca Alameda,"Alameda County, CA",2019,7,1006,117,620,1,0,2019-07-01
Ca Alameda,"Alameda County, CA",2019,8,926,126,589,1,0,2019-08-01
Ca Alameda,"Alameda County, CA",2019,9,530,87,352,1,0,2019-09-01
Ca Alameda,"Alameda County, CA",2019,10,1216,110,718,1,0,2019-10-01
Ca Alameda,"Alameda County, CA",2019,11,118,164,223,1,0,2019-11-01
Ca Alameda,"Alameda County, CA",2019,12,1250,368,993,1,0,2019-12-01
Ca Alameda,"Alameda County, CA",2020,1,374,95,282,1,1,2020-01-01
Ca Alameda,"Alameda County, CA",2020,2,90,160,205,1,1,2020-02-01
Ca Alameda,"Alameda County, CA",2020,3,244,85,207,1,1,2020-03-01
Ca Alameda,"Alameda County, CA",2020,4,1230,82,697,1,1,2020-04-01
Ca Alameda,"Alameda County, CA",2020,5,1502,74,825,1,1,2020-05-01
Ca Alameda,"Alameda County, CA",2020,6,142,166,237,1,1,2020-06-01
Ca Alameda,"Alameda County, CA",2020,7,522,84,345,1,1,2020-07-01
Ca Alameda,"Alameda County, CA",2020,8,544,143,415,1,1,2020-08-01
Ca Alameda,"Alameda County, CA",2020,9,508,106,360,1,1,2020-09-01
Ca Alameda,"Alameda County, CA",2020,10,152,163,239,1,1,2020-10-01
Ca Alameda,"Alameda County, CA",2020,11,200,96,196,1,1,2020-11-01
Ca Alameda,"Alameda County, CA",2020,12,304,82,234,1,1,2020-12-01
Ca Alameda,"Alameda County, CA",2021,1,402,139,340,1,1,2021-01-01
Ca Alameda,"Alameda County, CA",2021,2,166,123,206,1,1,2021-02-01
Ca Alameda,"Alameda County, CA",2021,3,148,152,226,1,1,2021-03-01
Ca Alameda,"Alameda County, CA",2021,4,1172,141,727,1,1,2021-04-01
Ca Alameda,"Alameda County, CA",2021,5,574,99,386,1,1,2021-05-01
Ca Alameda,"Alameda County, CA",2021,6,1080,81,621,1,1,2021-06-01
