county_name,state,year,month,date,treated,post,treated_post,total_permits,single_family,multifamily
Ca Alameda,California,2018,1,2018-01-01,1,0,0,759,90,1338
Ca Alameda,California,2018,2,2018-02-01,1,0,0,764,133,1262
Ca Alameda,California,2018,3,2018-03-01,1,0,0,640,216,848
Ca Alameda,California,2018,4,2018-04-01,1,0,0,1719,195,3048
Ca Alameda,California,2018,5,2018-05-01,1,0,0,755,204,1102
Ca Alameda,California,2018,6,2018-06-01,1,0,0,640,165,950
Ca Alameda,California,2018,7,2018-07-01,1,0,0,793,184,1218
Ca Alameda,California,2018,8,2018-08-01,1,0,0,667,160,1014
Ca Alameda,California,2018,9,2018-09-01,1,0,0,306,155,302
Ca Alameda,California,2018,10,2018-10-01,1,0,0,377,186,382
Ca Alameda,California,2018,11,2018-11-01,1,0,0,258,144,228
Ca Alameda,California,2018,12,2018-12-01,1,0,0,599,136,926
Ca Alameda,California,2019,1,2019-01-01,1,0,0,550,156,788
Ca Alameda,California,2019,2,2019-02-01,1,0,0,204,139,130
Ca Alameda,California,2019,3,2019-03-01,1,0,0,744,145,1198
Ca Alameda,California,2019,4,2019-04-01,1,0,0,729,291,876
Ca Alameda,California,2019,5,2019-05-01,1,0,0,332,167,330
Ca Alameda,California,2019,6,2019-06-01,1,0,0,550,105,890
Ca Alameda,California,2019,7,2019-07-01,1,0,0,620,117,1006
Ca Alameda,California,2019,8,2019-08-01,1,0,0,589,126,926
Ca Alameda,California,2019,9,2019-09-01,1,0,0,352,87,530
Ca Alameda,California,2019,10,2019-10-01,1,0,0,718,110,1216
Ca Alameda,California,2019,11,2019-11-01,1,0,0,223,164,118
Ca Alameda,California,2019,12,2019-12-01,1,0,0,993,368,1250
Ca Alameda,California,2020,1,2020-01-01,1,1,1,282,95,374
Ca Alameda,California,2020,2,2020-02-01,1,1,1,205,160,90
Ca Alameda,California,2020,3,2020-03-01,1,1,1,207,85,244
Ca Alameda,California,2020,4,2020-04-01,1,1,1,697,82,1230
Ca Alameda,California,2020,5,2020-05-01,1,1,1,825,74,1502
Ca Alameda,California,2020,6,2020-06-01,1,1,1,237,166,142
Ca Alameda,California,2020,7,2020-07-01,1,1,1,345,84,522
Ca Alameda,California,2020,8,2020-08-01,1,1,1,415,143,544
Ca Alameda,California,2020,9,2020-09-01,1,1,1,360,106,508
Ca Alameda,California,2020,10,2020-10-01,1,1,1,239,163,152
Ca Alameda,California,2020,11,2020-11-01,1,1,1,196,96,200
Ca Alameda,California,2020,12,2020-12-01,1,1,1,234,82,304
Ca Alameda,California,2021,1,2021-01-01,1,1,1,340,139,402
Ca Alameda,California,2021,2,2021-02-01,1,1,1,206,123,166
Ca Alameda,California,2021,3,2021-03-01,1,1,1,226,152,148
Ca Alameda,California,2021,4,2021-04-01,1,1,1,727,141,1172
Ca Alameda,California,2021,5,2021-05-01,1,1,1,386,99,574
Ca Alameda,California,2021,6,2021-06-01,1,1,1,621,81,1080
Ca Alameda,California,2021,7,2021-07-01,1,1,1,550,106,888
Ca Alameda,California,2021,8,2021-08-01,1,1,1,597,131,932
Ca Alameda,California,2021,9,2021-09-01,1,1,1,133,88,90
Ca Alameda,California,2021,10,2021-10-01,1,1,1,322,76,492
Ca Alameda,California,2021,11,2021-11-01,1,1,1,304,119,370
Ca Alameda,California,2021,12,2021-12-01,1,1,1,728,82,1292
Ca Alameda,California,2022,1,2022-01-01,1,1,1,591,142,898
Ca Alameda,California,2022,2,2022-02-01,1,1,1,307,71,472
Ca Alameda,California,2022,3,2022-03-01,1,1,1,315,132,366
Ca Alameda,California,2022,4,2022-04-01,1,1,1,430,221,418
Ca Alameda,California,2022,5,2022-05-01,1,1,1,243,112,262
Ca Alameda,California,2022,6,2022-06-01,1,1,1,680,77,1206
Ca Alameda,California,2022,7,2022-07-01,1,1,1,430,86,688
Ca Alameda,California,2022,8,2022-08-01,1,1,1,294,109,370
Ca Alameda,California,2022,9,2022-09-01,1,1,1,325,83,484
Ca Alameda,California,2022,10,2022-10-01,1,1,1,688,68,1240
Ca Alameda,California,2022,11,2022-11-01,1,1,1,331,56,550
Ca Alameda,California,2022,12,2022-12-01,1,1,1,183,55,256
Ca Losangeles,California,2018,1,2018-01-01,1,0,0,1495,374,2242
Ca Losangeles,California,2018,2,2018-02-01,1,0,0,1067,473,1188
Ca Losangeles,California,2018,3,2018-03-01,1,0,0,2107,621,2972
Ca Losangeles,California,2018,4,2018-04-01,1,0,0,1846,487,2718
Ca Losangeles,California,2018,5,2018-05-01,1,0,0,2436,681,3510
Ca Losangeles,California,2018,6,2018-06-01,1,0,0,4404,549,7710
Ca Losangeles,California,2018,7,2018-07-01,1,0,0,1310,442,1736
Ca Losangeles,California,2018,8,2018-08-01,1,0,0,1138,488,1300
Ca Losangeles,California,2018,9,2018-09-01,1,0,0,1236,428,1616
Ca Losangeles,California,2018,10,2018-10-01,1,0,0,1592,497,2190
Ca Losangeles,California,2018,11,2018-11-01,1,0,0,1287,508,1558
Ca Losangeles,California,2018,12,2018-12-01,1,0,0,2158,438,3440
Ca Losangeles,California,2019,1,2019-01-01,1,0,0,2662,455,4414
Ca Losangeles,California,2019,2,2019-02-01,1,0,0,974,393,1162
Ca Losangeles,California,2019,3,2019-03-01,1,0,0,1754,526,2456
Ca Losangeles,California,2019,4,2019-04-01,1,0,0,1143,480,1326
Ca Losangeles,California,2019,5,2019-05-01,1,0,0,2087,605,2964
Ca Losangeles,California,2019,6,2019-06-01,1,0,0,1542,551,1982
Ca Losangeles,California,2019,7,2019-07-01,1,0,0,2349,421,3856
Ca Losangeles,California,2019,8,2019-08-01,1,0,0,1030,424,1212
Ca Losangeles,California,2019,9,2019-09-01,1,0,0,2647,409,4476
