county_name,state,year,month,date,treated,post,treated_post,total_permits,single_family,multifamily,log_total_permits,log_single_family,log_multifamily,county_id,time_id,time_trend
Ca Alameda,California,2018,1,2018-01-01,1,0,0,759,90,1338,6.633318433280377,4.51085950651685,7.199678345691172,California_Ca Alameda,2018-01,0
Ca Alameda,California,2018,2,2018-02-01,1,0,0,764,133,1262,6.639875833826536,4.897839799950911,7.141245122350491,California_Ca Alameda,2018-02,0.08487337440109514
Ca Alameda,California,2018,3,2018-03-01,1,0,0,640,216,848,6.46302945692067,5.37989735354046,6.744059186311348,California_Ca Alameda,2018-03,0.16153319644079397
Ca Alameda,California,2018,4,2018-04-01,1,0,0,1719,195,3048,7.450079569807499,5.278114659230517,8.022568946988255,California_Ca Alameda,2018-04,0.2464065708418891
Ca Alameda,California,2018,5,2018-05-01,1,0,0,755,204,1102,6.628041376179533,5.3230099791384085,7.005789019253503,California_Ca Alameda,2018-05,0.32854209445585214
Ca Alameda,California,2018,6,2018-06-01,1,0,0,640,165,950,6.46302945692067,5.111987788356544,6.85751406254539,California_Ca Alameda,2018-06,0.4134154688569473
Ca Alameda,California,2018,7,2018-07-01,1,0,0,793,184,1218,6.677083461247136,5.220355825078324,7.105786129481271,California_Ca Alameda,2018-07,0.49555099247091033
Ca Alameda,California,2018,8,2018-08-01,1,0,0,667,160,1014,6.504288173536645,5.081404364984463,6.922643891475888,California_Ca Alameda,2018-08,0.5804243668720055
Ca Alameda,California,2018,9,2018-09-01,1,0,0,306,155,302,5.726847747587197,5.049856007249537,5.713732805509369,California_Ca Alameda,2018-09,0.6652977412731006
Ca Alameda,California,2018,10,2018-10-01,1,0,0,377,186,382,5.934894195619588,5.231108616854587,5.948034989180646,California_Ca Alameda,2018-10,0.7474332648870636
Ca Alameda,California,2018,11,2018-11-01,1,0,0,258,144,228,5.556828061699537,4.976733742420574,5.43372200355424,California_Ca Alameda,2018-11,0.8323066392881588
Ca Alameda,California,2018,12,2018-12-01,1,0,0,599,136,926,6.396929655216146,4.919980925828125,6.831953565565855,California_Ca Alameda,2018-12,0.9144421629021219
Ca Alameda,California,2019,1,2019-01-01,1,0,0,550,156,788,6.311734809152915,5.056245805348308,6.670766320845874,California_Ca Alameda,2019-01,0.999315537303217
Ca Alameda,California,2019,2,2019-02-01,1,0,0,204,139,130,5.3230099791384085,4.941642422609304,4.875197323201151,California_Ca Alameda,2019-02,1.0841889117043122
Ca Alameda,California,2019,3,2019-03-01,1,0,0,744,145,1198,6.61338421837956,4.983606621708336,7.089243155027514,California_Ca Alameda,2019-03,1.160848733744011
Ca Alameda,California,2019,4,2019-04-01,1,0,0,729,291,876,6.593044534142437,5.676753802268282,6.776506992372183,California_Ca Alameda,2019-04,1.2457221081451062
