county_name,location,year,month,multifamily,single_family,total_permits,treated,post
Tx Bexar,"Bexar County, TX",2018,1,1188,343,937,0,0
Tx Bexar,"Bexar County, TX",2018,2,48,317,341,0,0
Tx Bexar,"Bexar County, TX",2018,3,64,428,460,0,0
Tx Bexar,"Bexar County, TX",2018,4,22,330,341,0,0
Tx Bexar,"Bexar County, TX",2018,5,692,437,783,0,0
Tx Bexar,"Bexar County, TX",2018,6,808,402,806,0,0
Tx Bexar,"Bexar County, TX",2018,7,832,424,840,0,0
Tx Bexar,"Bexar County, TX",2018,8,54,416,443,0,0
Tx Bexar,"Bexar County, TX",2018,9,650,337,662,0,0
Tx Bexar,"Bexar County, TX",2018,10,744,412,784,0,0
Tx Bexar,"Bexar County, TX",2018,11,64,292,324,0,0
Tx Bexar,"Bexar County, TX",2018,12,824,238,650,0,0
Tx Bexar,"Bexar County, TX",2019,1,58,94,123,0,0
Tx Bexar,"Bexar County, TX",2019,2,3728,501,2365,0,0
Tx Bexar,"Bexar County, TX",2019,3,42,391,412,0,0
Tx Bexar,"Bexar County, TX",2019,4,1778,412,1301,0,0
Tx Bexar,"Bexar County, TX",2019,5,22,503,514,0,0
Tx Bexar,"Bexar County, TX",2019,6,904,442,894,0,0
Tx Bexar,"Bexar County, TX",2019,7,834,493,910,0,0
Tx Bexar,"Bexar County, TX",2019,8,1108,527,1081,0,0
Tx Bexar,"Bexar County, TX",2019,9,1418,405,1114,0,0
Tx Bexar,"Bexar County, TX",2019,10,300,543,693,0,0
Tx Bexar,"Bexar County, TX",2019,11,1324,425,1087,0,0
Tx Bexar,"Bexar County, TX",2019,12,636,345,663,0,0
Tx Bexar,"Bexar County, TX",2020,1,580,427,717,0,1
Tx Bexar,"Bexar County, TX",2020,2,488,354,598,0,1
Tx Bexar,"Bexar County, TX",2020,3,920,494,954,0,1
Tx Bexar,"Bexar County, TX",2020,4,778,327,716,0,1
Tx Bexar,"Bexar County, TX",2020,5,758,317,696,0,1
Tx Bexar,"Bexar County, TX",2020,6,1198,411,1010,0,1
Tx Bexar,"Bexar County, TX",2020,7,1096,471,1019,0,1
Tx Bexar,"Bexar County, TX",2020,8,1840,426,1346,0,1
Tx Bexar,"Bexar County, TX",2020,9,62,416,447,0,1
Tx Bexar,"Bexar County, TX",2020,10,956,584,1062,0,1
Tx Bexar,"Bexar County, TX",2020,11,716,509,867,0,1
Tx Bexar,"Bexar County, TX",2020,12,730,597,962,0,1
Tx Bexar,"Bexar County, TX",2021,1,1442,698,1419,0,1
Tx Bexar,"Bexar County, TX",2021,2,1270,593,1228,0,1
Tx Bexar,"Bexar County, TX",2021,3,1510,869,1624,0,1
Tx Bexar,"Bexar County, TX",2021,4,1350,673,1348,0,1
Tx Bexar,"Bexar County, TX",2021,5,138,818,887,0,1
Tx Bexar,"Bexar County, TX",2021,6,2194,636,1733,0,1
Tx Bexar,"Bexar County, TX",2021,7,1764,612,1494,0,1
Tx Bexar,"Bexar County, TX",2021,8,2062,713,1744,0,1
Tx Bexar,"Bexar County, TX",2021,9,858,583,1012,0,1
Tx Bexar,"Bexar County, TX",2021,10,676,675,1013,0,1
Tx Bexar,"Bexar County, TX",2021,11,1264,457,1089,0,1
Tx Bexar,"Bexar County, TX",2021,12,632,382,698,0,1
Tx Bexar,"Bexar County, TX",2022,1,3080,545,2085,0,1
Tx Bexar,"Bexar County, TX",2022,2,624,549,861,0,1
