"Location","Year","Series","Series Code","Month","Permits"
"Alameda County, CA",2018,"Total Units",1,1,759
"Alameda County, CA",2018,"Total Units",1,2,764
"Alameda County, CA",2018,"Total Units",1,3,640
"Alameda County, CA",2018,"Total Units",1,4,"1,719"
"Alameda County, CA",2018,"Total Units",1,5,755
"Alameda County, CA",2018,"Total Units",1,6,640
"Alameda County, CA",2018,"Total Units",1,7,793
"Alameda County, CA",2018,"Total Units",1,8,667
"Alameda County, CA",2018,"Total Units",1,9,306
"Alameda County, CA",2018,"Total Units",1,10,377
"Alameda County, CA",2018,"Total Units",1,11,258
"Alameda County, CA",2018,"Total Units",1,12,599
"Alameda County, CA",2018,"Units in Single Family Structures",2,1,90
"Alameda County, CA",2018,"Units in Single Family Structures",2,2,133
"Alameda County, CA",2018,"Units in Single Family Structures",2,3,216
"Alameda County, CA",2018,"Units in Single Family Structures",2,4,195
"Alameda County, CA",2018,"Units in Single Family Structures",2,5,204
"Alameda County, CA",2018,"Units in Single Family Structures",2,6,165
"Alameda County, CA",2018,"Units in Single Family Structures",2,7,184
"Alameda County, CA",2018,"Units in Single Family Structures",2,8,160
"Alameda County, CA",2018,"Units in Single Family Structures",2,9,155
"Alameda County, CA",2018,"Units in Single Family Structures",2,10,186
"Alameda County, CA",2018,"Units in Single Family Structures",2,11,144
"Alameda County, CA",2018,"Units in Single Family Structures",2,12,136
"Alameda County, CA",2018,"Units in All Multifamily Structures",3,1,669
"Alameda County, CA",2018,"Units in All Multifamily Structures",3,2,631
"Alameda County, CA",2018,"Units in All Multifamily Structures",3,3,424
"Alameda County, CA",2018,"Units in All Multifamily Structures",3,4,"1,524"
"Alameda County, CA",2018,"Units in All Multifamily Structures",3,5,551
"Alameda County, CA",2018,"Units in All Multifamily Structures",3,6,475
"Alameda County, CA",2018,"Units in All Multifamily Structures",3,7,609
"Alameda County, CA",2018,"Units in All Multifamily Structures",3,8,507
"Alameda County, CA",2018,"Units in All Multifamily Structures",3,9,151
"Alameda County, CA",2018,"Units in All Multifamily Structures",3,10,191
"Alameda County, CA",2018,"Units in All Multifamily Structures",3,11,114
"Alameda County, CA",2018,"Units in All Multifamily Structures",3,12,463
"Alameda County, CA",2018,"Units in 2-Unit Multifamily Structures",4,1,2
"Alameda County, CA",2018,"Units in 2-Unit Multifamily Structures",4,2,2
"Alameda County, CA",2018,"Units in 2-Unit Multifamily Structures",4,3,0
"Alameda County, CA",2018,"Units in 2-Unit Multifamily Structures",4,4,4
"Alameda County, CA",2018,"Units in 2-Unit Multifamily Structures",4,5,8
"Alameda County, CA",2018,"Units in 2-Unit Multifamily Structures",4,6,0
"Alameda County, CA",2018,"Units in 2-Unit Multifamily Structures",4,7,26
"Alameda County, CA",2018,"Units in 2-Unit Multifamily Structures",4,8,8
"Alameda County, CA",2018,"Units in 2-Unit Multifamily Structures",4,9,2
"Alameda County, CA",2018,"Units in 2-Unit Multifamily Structures",4,10,0
"Alameda County, CA",2018,"Units in 2-Unit Multifamily Structures",4,11,4
"Alameda County, CA",2018,"Units in 2-Unit Multifamily Structures",4,12,0
"Alameda County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,1,0
"Alameda County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,2,23
"Alameda County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,3,16
"Alameda County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,4,59
"Alameda County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,5,3
"Alameda County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,6,17
"Alameda County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,7,10
"Alameda County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,8,14
"Alameda County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,9,37
"Alameda County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,10,4
"Alameda County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,11,20
"Alameda County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,12,6
"Alameda County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,1,667
"Alameda County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,2,606
"Alameda County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,3,408
"Alameda County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,4,"1,461"
"Alameda County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,5,540
"Alameda County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,6,458
"Alameda County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,7,573
"Alameda County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,8,485
"Alameda County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,9,112
"Alameda County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,10,187
"Alameda County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,11,90
"Alameda County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,12,457
"Alameda County, CA",2019,"Total Units",1,1,550
"Alameda County, CA",2019,"Total Units",1,2,204
"Alameda County, CA",2019,"Total Units",1,3,744
"Alameda County, CA",2019,"Total Units",1,4,729
"Alameda County, CA",2019,"Total Units",1,5,332
"Alameda County, CA",2019,"Total Units",1,6,550
"Alameda County, CA",2019,"Total Units",1,7,620
"Alameda County, CA",2019,"Total Units",1,8,589
"Alameda County, CA",2019,"Total Units",1,9,352
"Alameda County, CA",2019,"Total Units",1,10,718
"Alameda County, CA",2019,"Total Units",1,11,223
"Alameda County, CA",2019,"Total Units",1,12,993
"Alameda County, CA",2019,"Units in Single Family Structures",2,1,156
"Alameda County, CA",2019,"Units in Single Family Structures",2,2,139
"Alameda County, CA",2019,"Units in Single Family Structures",2,3,145
"Alameda County, CA",2019,"Units in Single Family Structures",2,4,291
"Alameda County, CA",2019,"Units in Single Family Structures",2,5,167
"Alameda County, CA",2019,"Units in Single Family Structures",2,6,105
"Alameda County, CA",2019,"Units in Single Family Structures",2,7,117
"Alameda County, CA",2019,"Units in Single Family Structures",2,8,126
"Alameda County, CA",2019,"Units in Single Family Structures",2,9,87
"Alameda County, CA",2019,"Units in Single Family Structures",2,10,110
"Alameda County, CA",2019,"Units in Single Family Structures",2,11,164
"Alameda County, CA",2019,"Units in Single Family Structures",2,12,368
"Alameda County, CA",2019,"Units in All Multifamily Structures",3,1,394
"Alameda County, CA",2019,"Units in All Multifamily Structures",3,2,65
"Alameda County, CA",2019,"Units in All Multifamily Structures",3,3,599
"Alameda County, CA",2019,"Units in All Multifamily Structures",3,4,438
"Alameda County, CA",2019,"Units in All Multifamily Structures",3,5,165
"Alameda County, CA",2019,"Units in All Multifamily Structures",3,6,445
"Alameda County, CA",2019,"Units in All Multifamily Structures",3,7,503
"Alameda County, CA",2019,"Units in All Multifamily Structures",3,8,463
"Alameda County, CA",2019,"Units in All Multifamily Structures",3,9,265
"Alameda County, CA",2019,"Units in All Multifamily Structures",3,10,608
"Alameda County, CA",2019,"Units in All Multifamily Structures",3,11,59
"Alameda County, CA",2019,"Units in All Multifamily Structures",3,12,625
"Alameda County, CA",2019,"Units in 2-Unit Multifamily Structures",4,1,6
"Alameda County, CA",2019,"Units in 2-Unit Multifamily Structures",4,2,2
"Alameda County, CA",2019,"Units in 2-Unit Multifamily Structures",4,3,0
"Alameda County, CA",2019,"Units in 2-Unit Multifamily Structures",4,4,2
"Alameda County, CA",2019,"Units in 2-Unit Multifamily Structures",4,5,2
"Alameda County, CA",2019,"Units in 2-Unit Multifamily Structures",4,6,8
"Alameda County, CA",2019,"Units in 2-Unit Multifamily Structures",4,7,0
"Alameda County, CA",2019,"Units in 2-Unit Multifamily Structures",4,8,2
"Alameda County, CA",2019,"Units in 2-Unit Multifamily Structures",4,9,16
"Alameda County, CA",2019,"Units in 2-Unit Multifamily Structures",4,10,18
"Alameda County, CA",2019,"Units in 2-Unit Multifamily Structures",4,11,2
"Alameda County, CA",2019,"Units in 2-Unit Multifamily Structures",4,12,0
"Alameda County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,1,4
"Alameda County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,2,12
"Alameda County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,3,3
"Alameda County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,4,18
"Alameda County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,5,15
"Alameda County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,6,4
"Alameda County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,7,3
"Alameda County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,8,0
"Alameda County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,9,9
"Alameda County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,10,14
"Alameda County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,11,8
"Alameda County, CA",2019,"Units in 3 & 4-Unit Multifamily Structures",5,12,14
"Alameda County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,1,384
"Alameda County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,2,51
"Alameda County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,3,596
"Alameda County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,4,418
"Alameda County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,5,148
"Alameda County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,6,433
"Alameda County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,7,500
"Alameda County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,8,461
"Alameda County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,9,240
"Alameda County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,10,576
"Alameda County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,11,49
"Alameda County, CA",2019,"Units in 5+-Unit Multifamily Structures",6,12,611
"Alameda County, CA",2020,"Total Units",1,1,282
"Alameda County, CA",2020,"Total Units",1,2,205
"Alameda County, CA",2020,"Total Units",1,3,207
"Alameda County, CA",2020,"Total Units",1,4,697
"Alameda County, CA",2020,"Total Units",1,5,825
"Alameda County, CA",2020,"Total Units",1,6,237
"Alameda County, CA",2020,"Total Units",1,7,345
"Alameda County, CA",2020,"Total Units",1,8,415
"Alameda County, CA",2020,"Total Units",1,9,360
"Alameda County, CA",2020,"Total Units",1,10,239
"Alameda County, CA",2020,"Total Units",1,11,196
"Alameda County, CA",2020,"Total Units",1,12,234
"Alameda County, CA",2020,"Units in Single Family Structures",2,1,95
"Alameda County, CA",2020,"Units in Single Family Structures",2,2,160
"Alameda County, CA",2020,"Units in Single Family Structures",2,3,85
"Alameda County, CA",2020,"Units in Single Family Structures",2,4,82
"Alameda County, CA",2020,"Units in Single Family Structures",2,5,74
"Alameda County, CA",2020,"Units in Single Family Structures",2,6,166
"Alameda County, CA",2020,"Units in Single Family Structures",2,7,84
"Alameda County, CA",2020,"Units in Single Family Structures",2,8,143
"Alameda County, CA",2020,"Units in Single Family Structures",2,9,106
"Alameda County, CA",2020,"Units in Single Family Structures",2,10,163
"Alameda County, CA",2020,"Units in Single Family Structures",2,11,96
"Alameda County, CA",2020,"Units in Single Family Structures",2,12,82
"Alameda County, CA",2020,"Units in All Multifamily Structures",3,1,187
"Alameda County, CA",2020,"Units in All Multifamily Structures",3,2,45
"Alameda County, CA",2020,"Units in All Multifamily Structures",3,3,122
"Alameda County, CA",2020,"Units in All Multifamily Structures",3,4,615
"Alameda County, CA",2020,"Units in All Multifamily Structures",3,5,751
"Alameda County, CA",2020,"Units in All Multifamily Structures",3,6,71
"Alameda County, CA",2020,"Units in All Multifamily Structures",3,7,261
"Alameda County, CA",2020,"Units in All Multifamily Structures",3,8,272
"Alameda County, CA",2020,"Units in All Multifamily Structures",3,9,254
"Alameda County, CA",2020,"Units in All Multifamily Structures",3,10,76
"Alameda County, CA",2020,"Units in All Multifamily Structures",3,11,100
"Alameda County, CA",2020,"Units in All Multifamily Structures",3,12,152
"Alameda County, CA",2020,"Units in 2-Unit Multifamily Structures",4,1,6
"Alameda County, CA",2020,"Units in 2-Unit Multifamily Structures",4,2,6
"Alameda County, CA",2020,"Units in 2-Unit Multifamily Structures",4,3,0
"Alameda County, CA",2020,"Units in 2-Unit Multifamily Structures",4,4,0
"Alameda County, CA",2020,"Units in 2-Unit Multifamily Structures",4,5,2
"Alameda County, CA",2020,"Units in 2-Unit Multifamily Structures",4,6,6
"Alameda County, CA",2020,"Units in 2-Unit Multifamily Structures",4,7,2
"Alameda County, CA",2020,"Units in 2-Unit Multifamily Structures",4,8,4
"Alameda County, CA",2020,"Units in 2-Unit Multifamily Structures",4,9,4
"Alameda County, CA",2020,"Units in 2-Unit Multifamily Structures",4,10,2
"Alameda County, CA",2020,"Units in 2-Unit Multifamily Structures",4,11,0
"Alameda County, CA",2020,"Units in 2-Unit Multifamily Structures",4,12,2
"Alameda County, CA",2020,"Units in 3 & 4-Unit Multifamily Structures",5,1,7
"Alameda County, CA",2020,"Units in 3 & 4-Unit Multifamily Structures",5,2,15
"Alameda County, CA",2020,"Units in 3 & 4-Unit Multifamily Structures",5,3,3
"Alameda County, CA",2020,"Units in 3 & 4-Unit Multifamily Structures",5,4,0
"Alameda County, CA",2020,"Units in 3 & 4-Unit Multifamily Structures",5,5,18
"Alameda County, CA",2020,"Units in 3 & 4-Unit Multifamily Structures",5,6,8
"Alameda County, CA",2020,"Units in 3 & 4-Unit Multifamily Structures",5,7,10
"Alameda County, CA",2020,"Units in 3 & 4-Unit Multifamily Structures",5,8,9
"Alameda County, CA",2020,"Units in 3 & 4-Unit Multifamily Structures",5,9,0
"Alameda County, CA",2020,"Units in 3 & 4-Unit Multifamily Structures",5,10,8
"Alameda County, CA",2020,"Units in 3 & 4-Unit Multifamily Structures",5,11,3
"Alameda County, CA",2020,"Units in 3 & 4-Unit Multifamily Structures",5,12,0
"Alameda County, CA",2020,"Units in 5+-Unit Multifamily Structures",6,1,174
"Alameda County, CA",2020,"Units in 5+-Unit Multifamily Structures",6,2,24
"Alameda County, CA",2020,"Units in 5+-Unit Multifamily Structures",6,3,119
