"Location","Year","Series","Series Code","Month","Permits"
"Los Angeles County, CA",2018,"Total Units",1,1,"1,495"
"Los Angeles County, CA",2018,"Total Units",1,2,"1,067"
"Los Angeles County, CA",2018,"Total Units",1,3,"2,107"
"Los Angeles County, CA",2018,"Total Units",1,4,"1,846"
"Los Angeles County, CA",2018,"Total Units",1,5,"2,436"
"Los Angeles County, CA",2018,"Total Units",1,6,"4,404"
"Los Angeles County, CA",2018,"Total Units",1,7,"1,310"
"Los Angeles County, CA",2018,"Total Units",1,8,"1,138"
"Los Angeles County, CA",2018,"Total Units",1,9,"1,236"
"Los Angeles County, CA",2018,"Total Units",1,10,"1,592"
"Los Angeles County, CA",2018,"Total Units",1,11,"1,287"
"Los Angeles County, CA",2018,"Total Units",1,12,"2,158"
"Los Angeles County, CA",2018,"Units in Single Family Structures",2,1,374
"Los Angeles County, CA",2018,"Units in Single Family Structures",2,2,473
"Los Angeles County, CA",2018,"Units in Single Family Structures",2,3,621
"Los Angeles County, CA",2018,"Units in Single Family Structures",2,4,487
"Los Angeles County, CA",2018,"Units in Single Family Structures",2,5,681
"Los Angeles County, CA",2018,"Units in Single Family Structures",2,6,549
"Los Angeles County, CA",2018,"Units in Single Family Structures",2,7,442
"Los Angeles County, CA",2018,"Units in Single Family Structures",2,8,488
"Los Angeles County, CA",2018,"Units in Single Family Structures",2,9,428
"Los Angeles County, CA",2018,"Units in Single Family Structures",2,10,497
"Los Angeles County, CA",2018,"Units in Single Family Structures",2,11,508
"Los Angeles County, CA",2018,"Units in Single Family Structures",2,12,438
"Los Angeles County, CA",2018,"Units in All Multifamily Structures",3,1,"1,121"
"Los Angeles County, CA",2018,"Units in All Multifamily Structures",3,2,594
"Los Angeles County, CA",2018,"Units in All Multifamily Structures",3,3,"1,486"
"Los Angeles County, CA",2018,"Units in All Multifamily Structures",3,4,"1,359"
"Los Angeles County, CA",2018,"Units in All Multifamily Structures",3,5,"1,755"
"Los Angeles County, CA",2018,"Units in All Multifamily Structures",3,6,"3,855"
"Los Angeles County, CA",2018,"Units in All Multifamily Structures",3,7,868
"Los Angeles County, CA",2018,"Units in All Multifamily Structures",3,8,650
"Los Angeles County, CA",2018,"Units in All Multifamily Structures",3,9,808
"Los Angeles County, CA",2018,"Units in All Multifamily Structures",3,10,"1,095"
"Los Angeles County, CA",2018,"Units in All Multifamily Structures",3,11,779
"Los Angeles County, CA",2018,"Units in All Multifamily Structures",3,12,"1,720"
"Los Angeles County, CA",2018,"Units in 2-Unit Multifamily Structures",4,1,100
"Los Angeles County, CA",2018,"Units in 2-Unit Multifamily Structures",4,2,82
"Los Angeles County, CA",2018,"Units in 2-Unit Multifamily Structures",4,3,104
"Los Angeles County, CA",2018,"Units in 2-Unit Multifamily Structures",4,4,108
"Los Angeles County, CA",2018,"Units in 2-Unit Multifamily Structures",4,5,66
"Los Angeles County, CA",2018,"Units in 2-Unit Multifamily Structures",4,6,100
"Los Angeles County, CA",2018,"Units in 2-Unit Multifamily Structures",4,7,60
"Los Angeles County, CA",2018,"Units in 2-Unit Multifamily Structures",4,8,120
"Los Angeles County, CA",2018,"Units in 2-Unit Multifamily Structures",4,9,128
"Los Angeles County, CA",2018,"Units in 2-Unit Multifamily Structures",4,10,92
"Los Angeles County, CA",2018,"Units in 2-Unit Multifamily Structures",4,11,102
"Los Angeles County, CA",2018,"Units in 2-Unit Multifamily Structures",4,12,158
"Los Angeles County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,1,12
"Los Angeles County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,2,0
"Los Angeles County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,3,23
"Los Angeles County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,4,19
"Los Angeles County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,5,30
"Los Angeles County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,6,6
"Los Angeles County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,7,16
"Los Angeles County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,8,31
"Los Angeles County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,9,3
"Los Angeles County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,10,18
"Los Angeles County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,11,34
"Los Angeles County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,12,14
"Los Angeles County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,1,"1,009"
