"Location","Year","Series","Series Code","Month","Permits"
"Orange County, CA",2018,"Total Units",1,1,809
"Orange County, CA",2018,"Total Units",1,2,566
"Orange County, CA",2018,"Total Units",1,3,650
"Orange County, CA",2018,"Total Units",1,4,530
"Orange County, CA",2018,"Total Units",1,5,787
"Orange County, CA",2018,"Total Units",1,6,570
"Orange County, CA",2018,"Total Units",1,7,780
"Orange County, CA",2018,"Total Units",1,8,513
"Orange County, CA",2018,"Total Units",1,9,833
"Orange County, CA",2018,"Total Units",1,10,288
"Orange County, CA",2018,"Total Units",1,11,810
"Orange County, CA",2018,"Total Units",1,12,409
"Orange County, CA",2018,"Units in Single Family Structures",2,1,285
"Orange County, CA",2018,"Units in Single Family Structures",2,2,391
"Orange County, CA",2018,"Units in Single Family Structures",2,3,441
"Orange County, CA",2018,"Units in Single Family Structures",2,4,384
"Orange County, CA",2018,"Units in Single Family Structures",2,5,523
"Orange County, CA",2018,"Units in Single Family Structures",2,6,326
"Orange County, CA",2018,"Units in Single Family Structures",2,7,268
"Orange County, CA",2018,"Units in Single Family Structures",2,8,415
"Orange County, CA",2018,"Units in Single Family Structures",2,9,298
"Orange County, CA",2018,"Units in Single Family Structures",2,10,202
"Orange County, CA",2018,"Units in Single Family Structures",2,11,243
"Orange County, CA",2018,"Units in Single Family Structures",2,12,267
"Orange County, CA",2018,"Units in All Multifamily Structures",3,1,524
"Orange County, CA",2018,"Units in All Multifamily Structures",3,2,175
"Orange County, CA",2018,"Units in All Multifamily Structures",3,3,209
"Orange County, CA",2018,"Units in All Multifamily Structures",3,4,146
"Orange County, CA",2018,"Units in All Multifamily Structures",3,5,264
"Orange County, CA",2018,"Units in All Multifamily Structures",3,6,244
"Orange County, CA",2018,"Units in All Multifamily Structures",3,7,512
"Orange County, CA",2018,"Units in All Multifamily Structures",3,8,98
"Orange County, CA",2018,"Units in All Multifamily Structures",3,9,535
"Orange County, CA",2018,"Units in All Multifamily Structures",3,10,86
"Orange County, CA",2018,"Units in All Multifamily Structures",3,11,567
"Orange County, CA",2018,"Units in All Multifamily Structures",3,12,142
"Orange County, CA",2018,"Units in 2-Unit Multifamily Structures",4,1,22
"Orange County, CA",2018,"Units in 2-Unit Multifamily Structures",4,2,94
"Orange County, CA",2018,"Units in 2-Unit Multifamily Structures",4,3,24
"Orange County, CA",2018,"Units in 2-Unit Multifamily Structures",4,4,28
"Orange County, CA",2018,"Units in 2-Unit Multifamily Structures",4,5,22
"Orange County, CA",2018,"Units in 2-Unit Multifamily Structures",4,6,26
"Orange County, CA",2018,"Units in 2-Unit Multifamily Structures",4,7,8
"Orange County, CA",2018,"Units in 2-Unit Multifamily Structures",4,8,22
"Orange County, CA",2018,"Units in 2-Unit Multifamily Structures",4,9,12
"Orange County, CA",2018,"Units in 2-Unit Multifamily Structures",4,10,22
"Orange County, CA",2018,"Units in 2-Unit Multifamily Structures",4,11,22
"Orange County, CA",2018,"Units in 2-Unit Multifamily Structures",4,12,6
"Orange County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,1,28
"Orange County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,2,31
"Orange County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,3,32
"Orange County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,4,39
"Orange County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,5,25
"Orange County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,6,89
"Orange County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,7,0
"Orange County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,8,12
"Orange County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,9,28
"Orange County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,10,15
"Orange County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,11,3
"Orange County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,12,14
