"Location","Year","Series","Series Code","Month","Permits"
"Sacramento County, CA",2018,"Total Units",1,1,490
"Sacramento County, CA",2018,"Total Units",1,2,195
"Sacramento County, CA",2018,"Total Units",1,3,417
"Sacramento County, CA",2018,"Total Units",1,4,272
"Sacramento County, CA",2018,"Total Units",1,5,755
"Sacramento County, CA",2018,"Total Units",1,6,592
"Sacramento County, CA",2018,"Total Units",1,7,440
"Sacramento County, CA",2018,"Total Units",1,8,404
"Sacramento County, CA",2018,"Total Units",1,9,241
"Sacramento County, CA",2018,"Total Units",1,10,366
"Sacramento County, CA",2018,"Total Units",1,11,266
"Sacramento County, CA",2018,"Total Units",1,12,229
"Sacramento County, CA",2018,"Units in Single Family Structures",2,1,275
"Sacramento County, CA",2018,"Units in Single Family Structures",2,2,183
"Sacramento County, CA",2018,"Units in Single Family Structures",2,3,373
"Sacramento County, CA",2018,"Units in Single Family Structures",2,4,272
"Sacramento County, CA",2018,"Units in Single Family Structures",2,5,338
"Sacramento County, CA",2018,"Units in Single Family Structures",2,6,477
"Sacramento County, CA",2018,"Units in Single Family Structures",2,7,342
"Sacramento County, CA",2018,"Units in Single Family Structures",2,8,322
"Sacramento County, CA",2018,"Units in Single Family Structures",2,9,223
"Sacramento County, CA",2018,"Units in Single Family Structures",2,10,290
"Sacramento County, CA",2018,"Units in Single Family Structures",2,11,254
"Sacramento County, CA",2018,"Units in Single Family Structures",2,12,229
"Sacramento County, CA",2018,"Units in All Multifamily Structures",3,1,215
"Sacramento County, CA",2018,"Units in All Multifamily Structures",3,2,12
"Sacramento County, CA",2018,"Units in All Multifamily Structures",3,3,44
"Sacramento County, CA",2018,"Units in All Multifamily Structures",3,4,0
"Sacramento County, CA",2018,"Units in All Multifamily Structures",3,5,417
"Sacramento County, CA",2018,"Units in All Multifamily Structures",3,6,115
"Sacramento County, CA",2018,"Units in All Multifamily Structures",3,7,98
"Sacramento County, CA",2018,"Units in All Multifamily Structures",3,8,82
"Sacramento County, CA",2018,"Units in All Multifamily Structures",3,9,18
"Sacramento County, CA",2018,"Units in All Multifamily Structures",3,10,76
"Sacramento County, CA",2018,"Units in All Multifamily Structures",3,11,12
"Sacramento County, CA",2018,"Units in All Multifamily Structures",3,12,0
"Sacramento County, CA",2018,"Units in 2-Unit Multifamily Structures",4,1,0
"Sacramento County, CA",2018,"Units in 2-Unit Multifamily Structures",4,2,0
"Sacramento County, CA",2018,"Units in 2-Unit Multifamily Structures",4,3,8
"Sacramento County, CA",2018,"Units in 2-Unit Multifamily Structures",4,4,0
"Sacramento County, CA",2018,"Units in 2-Unit Multifamily Structures",4,5,0
"Sacramento County, CA",2018,"Units in 2-Unit Multifamily Structures",4,6,0
"Sacramento County, CA",2018,"Units in 2-Unit Multifamily Structures",4,7,8
"Sacramento County, CA",2018,"Units in 2-Unit Multifamily Structures",4,8,2
"Sacramento County, CA",2018,"Units in 2-Unit Multifamily Structures",4,9,4
"Sacramento County, CA",2018,"Units in 2-Unit Multifamily Structures",4,10,4
"Sacramento County, CA",2018,"Units in 2-Unit Multifamily Structures",4,11,12
"Sacramento County, CA",2018,"Units in 2-Unit Multifamily Structures",4,12,0
"Sacramento County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,1,0
"Sacramento County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,2,0
"Sacramento County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,3,3
"Sacramento County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,4,0
"Sacramento County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,5,0
"Sacramento County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,6,0
"Sacramento County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,7,0
"Sacramento County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,8,0
"Sacramento County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,9,0
"Sacramento County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,10,8
"Sacramento County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,11,0
"Sacramento County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,12,0
"Sacramento County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,1,215
"Sacramento County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,2,12
"Sacramento County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,3,33
"Sacramento County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,4,0
"Sacramento County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,5,417
"Sacramento County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,6,115
"Sacramento County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,7,90
"Sacramento County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,8,80
"Sacramento County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,9,14
"Sacramento County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,10,64
"Sacramento County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,11,0
