"Location","Year","Series","Series Code","Month","Permits"
"San Diego County, CA",2018,"Total Units",1,1,"1,265"
"San Diego County, CA",2018,"Total Units",1,2,596
"San Diego County, CA",2018,"Total Units",1,3,912
"San Diego County, CA",2018,"Total Units",1,4,953
"San Diego County, CA",2018,"Total Units",1,5,"1,775"
"San Diego County, CA",2018,"Total Units",1,6,"1,455"
"San Diego County, CA",2018,"Total Units",1,7,384
"San Diego County, CA",2018,"Total Units",1,8,504
"San Diego County, CA",2018,"Total Units",1,9,689
"San Diego County, CA",2018,"Total Units",1,10,449
"San Diego County, CA",2018,"Total Units",1,11,273
"San Diego County, CA",2018,"Total Units",1,12,533
"San Diego County, CA",2018,"Units in Single Family Structures",2,1,420
"San Diego County, CA",2018,"Units in Single Family Structures",2,2,210
"San Diego County, CA",2018,"Units in Single Family Structures",2,3,307
"San Diego County, CA",2018,"Units in Single Family Structures",2,4,264
"San Diego County, CA",2018,"Units in Single Family Structures",2,5,643
"San Diego County, CA",2018,"Units in Single Family Structures",2,6,297
"San Diego County, CA",2018,"Units in Single Family Structures",2,7,246
"San Diego County, CA",2018,"Units in Single Family Structures",2,8,308
"San Diego County, CA",2018,"Units in Single Family Structures",2,9,215
"San Diego County, CA",2018,"Units in Single Family Structures",2,10,236
"San Diego County, CA",2018,"Units in Single Family Structures",2,11,198
"San Diego County, CA",2018,"Units in Single Family Structures",2,12,166
"San Diego County, CA",2018,"Units in All Multifamily Structures",3,1,845
"San Diego County, CA",2018,"Units in All Multifamily Structures",3,2,386
"San Diego County, CA",2018,"Units in All Multifamily Structures",3,3,605
"San Diego County, CA",2018,"Units in All Multifamily Structures",3,4,689
"San Diego County, CA",2018,"Units in All Multifamily Structures",3,5,"1,132"
"San Diego County, CA",2018,"Units in All Multifamily Structures",3,6,"1,158"
"San Diego County, CA",2018,"Units in All Multifamily Structures",3,7,138
"San Diego County, CA",2018,"Units in All Multifamily Structures",3,8,196
"San Diego County, CA",2018,"Units in All Multifamily Structures",3,9,474
"San Diego County, CA",2018,"Units in All Multifamily Structures",3,10,213
"San Diego County, CA",2018,"Units in All Multifamily Structures",3,11,75
"San Diego County, CA",2018,"Units in All Multifamily Structures",3,12,367
"San Diego County, CA",2018,"Units in 2-Unit Multifamily Structures",4,1,24
"San Diego County, CA",2018,"Units in 2-Unit Multifamily Structures",4,2,16
"San Diego County, CA",2018,"Units in 2-Unit Multifamily Structures",4,3,0
"San Diego County, CA",2018,"Units in 2-Unit Multifamily Structures",4,4,2
"San Diego County, CA",2018,"Units in 2-Unit Multifamily Structures",4,5,28
"San Diego County, CA",2018,"Units in 2-Unit Multifamily Structures",4,6,14
"San Diego County, CA",2018,"Units in 2-Unit Multifamily Structures",4,7,10
"San Diego County, CA",2018,"Units in 2-Unit Multifamily Structures",4,8,16
"San Diego County, CA",2018,"Units in 2-Unit Multifamily Structures",4,9,6
"San Diego County, CA",2018,"Units in 2-Unit Multifamily Structures",4,10,18
"San Diego County, CA",2018,"Units in 2-Unit Multifamily Structures",4,11,6
"San Diego County, CA",2018,"Units in 2-Unit Multifamily Structures",4,12,6
"San Diego County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,1,79
"San Diego County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,2,12
"San Diego County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,3,75
"San Diego County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,4,51
"San Diego County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,5,105
"San Diego County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,6,24
"San Diego County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,7,37
"San Diego County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,8,29
"San Diego County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,9,33
"San Diego County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,10,39
"San Diego County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,11,19
"San Diego County, CA",2018,"Units in 3 & 4-Unit Multifamily Structures",5,12,18
"San Diego County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,1,742
"San Diego County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,2,358
"San Diego County, CA",2018,"Units in 5+-Unit Multifamily Structures",6,3,530
