"Location","Year","Series","Series Code","Month","Permits"
"Bexar County, TX",2018,"Total Units",1,1,937
"Bexar County, TX",2018,"Total Units",1,2,341
"Bexar County, TX",2018,"Total Units",1,3,460
"Bexar County, TX",2018,"Total Units",1,4,341
"Bexar County, TX",2018,"Total Units",1,5,783
"Bexar County, TX",2018,"Total Units",1,6,806
"Bexar County, TX",2018,"Total Units",1,7,840
"Bexar County, TX",2018,"Total Units",1,8,443
"Bexar County, TX",2018,"Total Units",1,9,662
"Bexar County, TX",2018,"Total Units",1,10,784
"Bexar County, TX",2018,"Total Units",1,11,324
"Bexar County, TX",2018,"Total Units",1,12,650
"Bexar County, TX",2018,"Units in Single Family Structures",2,1,343
"Bexar County, TX",2018,"Units in Single Family Structures",2,2,317
"Bexar County, TX",2018,"Units in Single Family Structures",2,3,428
"Bexar County, TX",2018,"Units in Single Family Structures",2,4,330
"Bexar County, TX",2018,"Units in Single Family Structures",2,5,437
"Bexar County, TX",2018,"Units in Single Family Structures",2,6,402
"Bexar County, TX",2018,"Units in Single Family Structures",2,7,424
"Bexar County, TX",2018,"Units in Single Family Structures",2,8,416
"Bexar County, TX",2018,"Units in Single Family Structures",2,9,337
"Bexar County, TX",2018,"Units in Single Family Structures",2,10,412
"Bexar County, TX",2018,"Units in Single Family Structures",2,11,292
"Bexar County, TX",2018,"Units in Single Family Structures",2,12,238
"Bexar County, TX",2018,"Units in All Multifamily Structures",3,1,594
"Bexar County, TX",2018,"Units in All Multifamily Structures",3,2,24
"Bexar County, TX",2018,"Units in All Multifamily Structures",3,3,32
"Bexar County, TX",2018,"Units in All Multifamily Structures",3,4,11
"Bexar County, TX",2018,"Units in All Multifamily Structures",3,5,346
"Bexar County, TX",2018,"Units in All Multifamily Structures",3,6,404
"Bexar County, TX",2018,"Units in All Multifamily Structures",3,7,416
"Bexar County, TX",2018,"Units in All Multifamily Structures",3,8,27
"Bexar County, TX",2018,"Units in All Multifamily Structures",3,9,325
"Bexar County, TX",2018,"Units in All Multifamily Structures",3,10,372
"Bexar County, TX",2018,"Units in All Multifamily Structures",3,11,32
"Bexar County, TX",2018,"Units in All Multifamily Structures",3,12,412
"Bexar County, TX",2018,"Units in 2-Unit Multifamily Structures",4,1,0
"Bexar County, TX",2018,"Units in 2-Unit Multifamily Structures",4,2,6
"Bexar County, TX",2018,"Units in 2-Unit Multifamily Structures",4,3,22
"Bexar County, TX",2018,"Units in 2-Unit Multifamily Structures",4,4,4
"Bexar County, TX",2018,"Units in 2-Unit Multifamily Structures",4,5,12
"Bexar County, TX",2018,"Units in 2-Unit Multifamily Structures",4,6,14
"Bexar County, TX",2018,"Units in 2-Unit Multifamily Structures",4,7,16
"Bexar County, TX",2018,"Units in 2-Unit Multifamily Structures",4,8,0
"Bexar County, TX",2018,"Units in 2-Unit Multifamily Structures",4,9,8
"Bexar County, TX",2018,"Units in 2-Unit Multifamily Structures",4,10,0
"Bexar County, TX",2018,"Units in 2-Unit Multifamily Structures",4,11,2
"Bexar County, TX",2018,"Units in 2-Unit Multifamily Structures",4,12,2
"Bexar County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,1,0
"Bexar County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,2,13
"Bexar County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,3,0
"Bexar County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,4,0
"Bexar County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,5,0
"Bexar County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,6,0
"Bexar County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,7,0
