"Location","Year","Series","Series Code","Month","Permits"
"Dallas County, TX",2018,"Total Units",1,1,"1,484"
"Dallas County, TX",2018,"Total Units",1,2,795
"Dallas County, TX",2018,"Total Units",1,3,"1,687"
"Dallas County, TX",2018,"Total Units",1,4,"2,685"
"Dallas County, TX",2018,"Total Units",1,5,"1,457"
"Dallas County, TX",2018,"Total Units",1,6,"2,140"
"Dallas County, TX",2018,"Total Units",1,7,"2,183"
"Dallas County, TX",2018,"Total Units",1,8,"1,265"
"Dallas County, TX",2018,"Total Units",1,9,"1,448"
"Dallas County, TX",2018,"Total Units",1,10,537
"Dallas County, TX",2018,"Total Units",1,11,"1,778"
"Dallas County, TX",2018,"Total Units",1,12,"1,107"
"Dallas County, TX",2018,"Units in Single Family Structures",2,1,401
"Dallas County, TX",2018,"Units in Single Family Structures",2,2,336
"Dallas County, TX",2018,"Units in Single Family Structures",2,3,494
"Dallas County, TX",2018,"Units in Single Family Structures",2,4,337
"Dallas County, TX",2018,"Units in Single Family Structures",2,5,485
"Dallas County, TX",2018,"Units in Single Family Structures",2,6,426
"Dallas County, TX",2018,"Units in Single Family Structures",2,7,567
"Dallas County, TX",2018,"Units in Single Family Structures",2,8,453
"Dallas County, TX",2018,"Units in Single Family Structures",2,9,443
"Dallas County, TX",2018,"Units in Single Family Structures",2,10,417
"Dallas County, TX",2018,"Units in Single Family Structures",2,11,306
"Dallas County, TX",2018,"Units in Single Family Structures",2,12,256
"Dallas County, TX",2018,"Units in All Multifamily Structures",3,1,"1,083"
"Dallas County, TX",2018,"Units in All Multifamily Structures",3,2,459
"Dallas County, TX",2018,"Units in All Multifamily Structures",3,3,"1,193"
"Dallas County, TX",2018,"Units in All Multifamily Structures",3,4,"2,348"
"Dallas County, TX",2018,"Units in All Multifamily Structures",3,5,972
"Dallas County, TX",2018,"Units in All Multifamily Structures",3,6,"1,714"
"Dallas County, TX",2018,"Units in All Multifamily Structures",3,7,"1,616"
"Dallas County, TX",2018,"Units in All Multifamily Structures",3,8,812
"Dallas County, TX",2018,"Units in All Multifamily Structures",3,9,"1,005"
"Dallas County, TX",2018,"Units in All Multifamily Structures",3,10,120
"Dallas County, TX",2018,"Units in All Multifamily Structures",3,11,"1,472"
"Dallas County, TX",2018,"Units in All Multifamily Structures",3,12,851
"Dallas County, TX",2018,"Units in 2-Unit Multifamily Structures",4,1,10
"Dallas County, TX",2018,"Units in 2-Unit Multifamily Structures",4,2,34
"Dallas County, TX",2018,"Units in 2-Unit Multifamily Structures",4,3,18
"Dallas County, TX",2018,"Units in 2-Unit Multifamily Structures",4,4,20
"Dallas County, TX",2018,"Units in 2-Unit Multifamily Structures",4,5,12
"Dallas County, TX",2018,"Units in 2-Unit Multifamily Structures",4,6,12
"Dallas County, TX",2018,"Units in 2-Unit Multifamily Structures",4,7,8
"Dallas County, TX",2018,"Units in 2-Unit Multifamily Structures",4,8,22
"Dallas County, TX",2018,"Units in 2-Unit Multifamily Structures",4,9,12
"Dallas County, TX",2018,"Units in 2-Unit Multifamily Structures",4,10,14
"Dallas County, TX",2018,"Units in 2-Unit Multifamily Structures",4,11,12
"Dallas County, TX",2018,"Units in 2-Unit Multifamily Structures",4,12,14
"Dallas County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,1,248
"Dallas County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,2,4
"Dallas County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,3,27
"Dallas County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,4,4
"Dallas County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,5,20
"Dallas County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,6,14
"Dallas County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,7,4
"Dallas County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,8,3
"Dallas County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,9,8
"Dallas County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,10,10
"Dallas County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,11,70
"Dallas County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,12,7
"Dallas County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,1,825
"Dallas County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,2,421
"Dallas County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,3,"1,148"
"Dallas County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,4,"2,324"
"Dallas County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,5,940
"Dallas County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,6,"1,688"
"Dallas County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,7,"1,604"
"Dallas County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,8,787
"Dallas County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,9,985
"Dallas County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,10,96
"Dallas County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,11,"1,390"
"Dallas County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,12,830
"Dallas County, TX",2019,"Total Units",1,1,"2,084"
"Dallas County, TX",2019,"Total Units",1,2,827
"Dallas County, TX",2019,"Total Units",1,3,951
"Dallas County, TX",2019,"Total Units",1,4,"1,907"
"Dallas County, TX",2019,"Total Units",1,5,"1,172"
"Dallas County, TX",2019,"Total Units",1,6,926
"Dallas County, TX",2019,"Total Units",1,7,756
"Dallas County, TX",2019,"Total Units",1,8,"1,994"
"Dallas County, TX",2019,"Total Units",1,9,711
"Dallas County, TX",2019,"Total Units",1,10,"2,441"
"Dallas County, TX",2019,"Total Units",1,11,"1,789"
"Dallas County, TX",2019,"Total Units",1,12,944
"Dallas County, TX",2019,"Units in Single Family Structures",2,1,435
"Dallas County, TX",2019,"Units in Single Family Structures",2,2,426
"Dallas County, TX",2019,"Units in Single Family Structures",2,3,497
"Dallas County, TX",2019,"Units in Single Family Structures",2,4,488
"Dallas County, TX",2019,"Units in Single Family Structures",2,5,484
"Dallas County, TX",2019,"Units in Single Family Structures",2,6,398
"Dallas County, TX",2019,"Units in Single Family Structures",2,7,482
"Dallas County, TX",2019,"Units in Single Family Structures",2,8,461
"Dallas County, TX",2019,"Units in Single Family Structures",2,9,407
"Dallas County, TX",2019,"Units in Single Family Structures",2,10,472
"Dallas County, TX",2019,"Units in Single Family Structures",2,11,430
"Dallas County, TX",2019,"Units in Single Family Structures",2,12,429
"Dallas County, TX",2019,"Units in All Multifamily Structures",3,1,"1,649"
"Dallas County, TX",2019,"Units in All Multifamily Structures",3,2,401
"Dallas County, TX",2019,"Units in All Multifamily Structures",3,3,454
"Dallas County, TX",2019,"Units in All Multifamily Structures",3,4,"1,419"
"Dallas County, TX",2019,"Units in All Multifamily Structures",3,5,688
"Dallas County, TX",2019,"Units in All Multifamily Structures",3,6,528
"Dallas County, TX",2019,"Units in All Multifamily Structures",3,7,274
"Dallas County, TX",2019,"Units in All Multifamily Structures",3,8,"1,533"
"Dallas County, TX",2019,"Units in All Multifamily Structures",3,9,304
"Dallas County, TX",2019,"Units in All Multifamily Structures",3,10,"1,969"
"Dallas County, TX",2019,"Units in All Multifamily Structures",3,11,"1,359"
"Dallas County, TX",2019,"Units in All Multifamily Structures",3,12,515
"Dallas County, TX",2019,"Units in 2-Unit Multifamily Structures",4,1,22
"Dallas County, TX",2019,"Units in 2-Unit Multifamily Structures",4,2,4
"Dallas County, TX",2019,"Units in 2-Unit Multifamily Structures",4,3,8
"Dallas County, TX",2019,"Units in 2-Unit Multifamily Structures",4,4,20
"Dallas County, TX",2019,"Units in 2-Unit Multifamily Structures",4,5,16
"Dallas County, TX",2019,"Units in 2-Unit Multifamily Structures",4,6,10
"Dallas County, TX",2019,"Units in 2-Unit Multifamily Structures",4,7,12
"Dallas County, TX",2019,"Units in 2-Unit Multifamily Structures",4,8,22
"Dallas County, TX",2019,"Units in 2-Unit Multifamily Structures",4,9,16
"Dallas County, TX",2019,"Units in 2-Unit Multifamily Structures",4,10,14
"Dallas County, TX",2019,"Units in 2-Unit Multifamily Structures",4,11,4
"Dallas County, TX",2019,"Units in 2-Unit Multifamily Structures",4,12,4
"Dallas County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,1,8
"Dallas County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,2,34
"Dallas County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,3,17
"Dallas County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,4,23
"Dallas County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,5,11
"Dallas County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,6,11
"Dallas County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,7,16
"Dallas County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,8,8
"Dallas County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,9,0
"Dallas County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,10,7
"Dallas County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,11,34
"Dallas County, TX",2019,"Units in 3 & 4-Unit Multifamily Structures",5,12,7
"Dallas County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,1,"1,619"
"Dallas County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,2,363
"Dallas County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,3,429
"Dallas County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,4,"1,376"
"Dallas County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,5,661
"Dallas County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,6,507
"Dallas County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,7,246
"Dallas County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,8,"1,503"
"Dallas County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,9,288
"Dallas County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,10,"1,948"
"Dallas County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,11,"1,321"
"Dallas County, TX",2019,"Units in 5+-Unit Multifamily Structures",6,12,504
"Dallas County, TX",2020,"Total Units",1,1,"1,077"
"Dallas County, TX",2020,"Total Units",1,2,633
"Dallas County, TX",2020,"Total Units",1,3,449
"Dallas County, TX",2020,"Total Units",1,4,729
"Dallas County, TX",2020,"Total Units",1,5,"1,495"
"Dallas County, TX",2020,"Total Units",1,6,"1,613"
"Dallas County, TX",2020,"Total Units",1,7,556
"Dallas County, TX",2020,"Total Units",1,8,461
"Dallas County, TX",2020,"Total Units",1,9,856
"Dallas County, TX",2020,"Total Units",1,10,651
"Dallas County, TX",2020,"Total Units",1,11,"1,080"
"Dallas County, TX",2020,"Total Units",1,12,"1,040"
"Dallas County, TX",2020,"Units in Single Family Structures",2,1,456
"Dallas County, TX",2020,"Units in Single Family Structures",2,2,529
"Dallas County, TX",2020,"Units in Single Family Structures",2,3,397
"Dallas County, TX",2020,"Units in Single Family Structures",2,4,355
"Dallas County, TX",2020,"Units in Single Family Structures",2,5,305
"Dallas County, TX",2020,"Units in Single Family Structures",2,6,518
"Dallas County, TX",2020,"Units in Single Family Structures",2,7,489
"Dallas County, TX",2020,"Units in Single Family Structures",2,8,447
"Dallas County, TX",2020,"Units in Single Family Structures",2,9,512
"Dallas County, TX",2020,"Units in Single Family Structures",2,10,483
"Dallas County, TX",2020,"Units in Single Family Structures",2,11,509
"Dallas County, TX",2020,"Units in Single Family Structures",2,12,580
"Dallas County, TX",2020,"Units in All Multifamily Structures",3,1,621
"Dallas County, TX",2020,"Units in All Multifamily Structures",3,2,104
"Dallas County, TX",2020,"Units in All Multifamily Structures",3,3,52
"Dallas County, TX",2020,"Units in All Multifamily Structures",3,4,374
"Dallas County, TX",2020,"Units in All Multifamily Structures",3,5,"1,190"
"Dallas County, TX",2020,"Units in All Multifamily Structures",3,6,"1,095"
"Dallas County, TX",2020,"Units in All Multifamily Structures",3,7,67
"Dallas County, TX",2020,"Units in All Multifamily Structures",3,8,14
"Dallas County, TX",2020,"Units in All Multifamily Structures",3,9,344
"Dallas County, TX",2020,"Units in All Multifamily Structures",3,10,168
"Dallas County, TX",2020,"Units in All Multifamily Structures",3,11,571
"Dallas County, TX",2020,"Units in All Multifamily Structures",3,12,460
"Dallas County, TX",2020,"Units in 2-Unit Multifamily Structures",4,1,28
"Dallas County, TX",2020,"Units in 2-Unit Multifamily Structures",4,2,20
"Dallas County, TX",2020,"Units in 2-Unit Multifamily Structures",4,3,12
"Dallas County, TX",2020,"Units in 2-Unit Multifamily Structures",4,4,28
"Dallas County, TX",2020,"Units in 2-Unit Multifamily Structures",4,5,6
"Dallas County, TX",2020,"Units in 2-Unit Multifamily Structures",4,6,26
"Dallas County, TX",2020,"Units in 2-Unit Multifamily Structures",4,7,10
"Dallas County, TX",2020,"Units in 2-Unit Multifamily Structures",4,8,10
"Dallas County, TX",2020,"Units in 2-Unit Multifamily Structures",4,9,16
"Dallas County, TX",2020,"Units in 2-Unit Multifamily Structures",4,10,8
"Dallas County, TX",2020,"Units in 2-Unit Multifamily Structures",4,11,10
"Dallas County, TX",2020,"Units in 2-Unit Multifamily Structures",4,12,8
"Dallas County, TX",2020,"Units in 3 & 4-Unit Multifamily Structures",5,1,16
"Dallas County, TX",2020,"Units in 3 & 4-Unit Multifamily Structures",5,2,4
"Dallas County, TX",2020,"Units in 3 & 4-Unit Multifamily Structures",5,3,0
"Dallas County, TX",2020,"Units in 3 & 4-Unit Multifamily Structures",5,4,0
"Dallas County, TX",2020,"Units in 3 & 4-Unit Multifamily Structures",5,5,0
"Dallas County, TX",2020,"Units in 3 & 4-Unit Multifamily Structures",5,6,16
"Dallas County, TX",2020,"Units in 3 & 4-Unit Multifamily Structures",5,7,12
"Dallas County, TX",2020,"Units in 3 & 4-Unit Multifamily Structures",5,8,4
