"Location","Year","Series","Series Code","Month","Permits"
"Tarrant County, TX",2018,"Total Units",1,1,"1,968"
"Tarrant County, TX",2018,"Total Units",1,2,"1,330"
"Tarrant County, TX",2018,"Total Units",1,3,"1,154"
"Tarrant County, TX",2018,"Total Units",1,4,"2,101"
"Tarrant County, TX",2018,"Total Units",1,5,876
"Tarrant County, TX",2018,"Total Units",1,6,"1,129"
"Tarrant County, TX",2018,"Total Units",1,7,689
"Tarrant County, TX",2018,"Total Units",1,8,903
"Tarrant County, TX",2018,"Total Units",1,9,"1,183"
"Tarrant County, TX",2018,"Total Units",1,10,"1,663"
"Tarrant County, TX",2018,"Total Units",1,11,830
"Tarrant County, TX",2018,"Total Units",1,12,534
"Tarrant County, TX",2018,"Units in Single Family Structures",2,1,735
"Tarrant County, TX",2018,"Units in Single Family Structures",2,2,672
"Tarrant County, TX",2018,"Units in Single Family Structures",2,3,690
"Tarrant County, TX",2018,"Units in Single Family Structures",2,4,834
"Tarrant County, TX",2018,"Units in Single Family Structures",2,5,663
"Tarrant County, TX",2018,"Units in Single Family Structures",2,6,616
"Tarrant County, TX",2018,"Units in Single Family Structures",2,7,679
"Tarrant County, TX",2018,"Units in Single Family Structures",2,8,881
"Tarrant County, TX",2018,"Units in Single Family Structures",2,9,758
"Tarrant County, TX",2018,"Units in Single Family Structures",2,10,773
"Tarrant County, TX",2018,"Units in Single Family Structures",2,11,824
"Tarrant County, TX",2018,"Units in Single Family Structures",2,12,524
"Tarrant County, TX",2018,"Units in All Multifamily Structures",3,1,"1,233"
"Tarrant County, TX",2018,"Units in All Multifamily Structures",3,2,658
"Tarrant County, TX",2018,"Units in All Multifamily Structures",3,3,464
"Tarrant County, TX",2018,"Units in All Multifamily Structures",3,4,"1,267"
"Tarrant County, TX",2018,"Units in All Multifamily Structures",3,5,213
"Tarrant County, TX",2018,"Units in All Multifamily Structures",3,6,513
"Tarrant County, TX",2018,"Units in All Multifamily Structures",3,7,10
"Tarrant County, TX",2018,"Units in All Multifamily Structures",3,8,22
"Tarrant County, TX",2018,"Units in All Multifamily Structures",3,9,425
"Tarrant County, TX",2018,"Units in All Multifamily Structures",3,10,890
"Tarrant County, TX",2018,"Units in All Multifamily Structures",3,11,6
"Tarrant County, TX",2018,"Units in All Multifamily Structures",3,12,10
"Tarrant County, TX",2018,"Units in 2-Unit Multifamily Structures",4,1,4
"Tarrant County, TX",2018,"Units in 2-Unit Multifamily Structures",4,2,14
"Tarrant County, TX",2018,"Units in 2-Unit Multifamily Structures",4,3,8
"Tarrant County, TX",2018,"Units in 2-Unit Multifamily Structures",4,4,4
"Tarrant County, TX",2018,"Units in 2-Unit Multifamily Structures",4,5,8
"Tarrant County, TX",2018,"Units in 2-Unit Multifamily Structures",4,6,4
"Tarrant County, TX",2018,"Units in 2-Unit Multifamily Structures",4,7,2
