"Location","Year","Series","Series Code","Month","Permits"
"Travis County, TX",2018,"Total Units",1,1,"1,717"
"Travis County, TX",2018,"Total Units",1,2,"1,240"
"Travis County, TX",2018,"Total Units",1,3,"1,938"
"Travis County, TX",2018,"Total Units",1,4,"2,290"
"Travis County, TX",2018,"Total Units",1,5,"3,110"
"Travis County, TX",2018,"Total Units",1,6,"1,790"
"Travis County, TX",2018,"Total Units",1,7,"1,468"
"Travis County, TX",2018,"Total Units",1,8,914
"Travis County, TX",2018,"Total Units",1,9,"1,224"
"Travis County, TX",2018,"Total Units",1,10,937
"Travis County, TX",2018,"Total Units",1,11,"1,268"
"Travis County, TX",2018,"Total Units",1,12,"1,625"
"Travis County, TX",2018,"Units in Single Family Structures",2,1,718
"Travis County, TX",2018,"Units in Single Family Structures",2,2,724
"Travis County, TX",2018,"Units in Single Family Structures",2,3,780
"Travis County, TX",2018,"Units in Single Family Structures",2,4,908
"Travis County, TX",2018,"Units in Single Family Structures",2,5,740
"Travis County, TX",2018,"Units in Single Family Structures",2,6,844
"Travis County, TX",2018,"Units in Single Family Structures",2,7,"1,051"
"Travis County, TX",2018,"Units in Single Family Structures",2,8,646
"Travis County, TX",2018,"Units in Single Family Structures",2,9,583
"Travis County, TX",2018,"Units in Single Family Structures",2,10,606
"Travis County, TX",2018,"Units in Single Family Structures",2,11,718
"Travis County, TX",2018,"Units in Single Family Structures",2,12,671
"Travis County, TX",2018,"Units in All Multifamily Structures",3,1,999
"Travis County, TX",2018,"Units in All Multifamily Structures",3,2,516
"Travis County, TX",2018,"Units in All Multifamily Structures",3,3,"1,158"
"Travis County, TX",2018,"Units in All Multifamily Structures",3,4,"1,382"
"Travis County, TX",2018,"Units in All Multifamily Structures",3,5,"2,370"
"Travis County, TX",2018,"Units in All Multifamily Structures",3,6,946
"Travis County, TX",2018,"Units in All Multifamily Structures",3,7,417
"Travis County, TX",2018,"Units in All Multifamily Structures",3,8,268
"Travis County, TX",2018,"Units in All Multifamily Structures",3,9,641
"Travis County, TX",2018,"Units in All Multifamily Structures",3,10,331
"Travis County, TX",2018,"Units in All Multifamily Structures",3,11,550
"Travis County, TX",2018,"Units in All Multifamily Structures",3,12,954
"Travis County, TX",2018,"Units in 2-Unit Multifamily Structures",4,1,2
"Travis County, TX",2018,"Units in 2-Unit Multifamily Structures",4,2,4
"Travis County, TX",2018,"Units in 2-Unit Multifamily Structures",4,3,2
"Travis County, TX",2018,"Units in 2-Unit Multifamily Structures",4,4,0
"Travis County, TX",2018,"Units in 2-Unit Multifamily Structures",4,5,0
"Travis County, TX",2018,"Units in 2-Unit Multifamily Structures",4,6,2
"Travis County, TX",2018,"Units in 2-Unit Multifamily Structures",4,7,4
"Travis County, TX",2018,"Units in 2-Unit Multifamily Structures",4,8,4
"Travis County, TX",2018,"Units in 2-Unit Multifamily Structures",4,9,0
"Travis County, TX",2018,"Units in 2-Unit Multifamily Structures",4,10,0
"Travis County, TX",2018,"Units in 2-Unit Multifamily Structures",4,11,0
"Travis County, TX",2018,"Units in 2-Unit Multifamily Structures",4,12,0
"Travis County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,1,3
"Travis County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,2,0
"Travis County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,3,0
"Travis County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,4,0
"Travis County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,5,0
"Travis County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,6,10
"Travis County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,7,0
"Travis County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,8,0
"Travis County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,9,4
"Travis County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,10,12
"Travis County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,11,24
"Travis County, TX",2018,"Units in 3 & 4-Unit Multifamily Structures",5,12,0
"Travis County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,1,994
"Travis County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,2,512
"Travis County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,3,"1,156"
"Travis County, TX",2018,"Units in 5+-Unit Multifamily Structures",6,4,"1,382"
